Date,Prix (€)
13/03/2026,61224.44859889374
14/03/2026,61878.46175041084
15/03/2026,62125.09860849066
16/03/2026,63566.1476935859
17/03/2026,65097.76898262306
18/03/2026,64056.15970452876
19/03/2026,62144.8037717527
20/03/2026,60360.61937565861
21/03/2026,60971.57878434094
22/03/2026,59316.983013181125
23/03/2026,58693.959362806876
24/03/2026,61076.29831355873
25/03/2026,60727.03501227319
26/03/2026,61681.08720807594
27/03/2026,59635.56440104286
28/03/2026,57448.126442691595
29/03/2026,57453.143103189665
30/03/2026,57411.88733030794
31/03/2026,58228.466524081
01/04/2026,58984.02933583486
02/04/2026,58744.37724340737
03/04/2026,57957.01182390806
04/04/2026,58099.836414089514
05/04/2026,58421.300091407655
06/04/2026,59937.86767947226
07/04/2026,59667.69146335397
08/04/2026,61599.112255327025
09/04/2026,60999.392804401425
10/04/2026,61390.1848793943
11/04/2026,62207.70134395084
11/04/2026,62674.14442262474
